2019-09-30,Rosh Hashanah I
2019-10-01,Rosh Hashanah II
2019-10-09,Yom Kippur
2019-10-14,Sukkot
2019-10-21,Shemini Atzeret
2020-04-09,Pesach (Passover)
2020-04-15,Shvi'i shel Pesach
2020-04-29,Yom Ha-Atzmaut
2020-05-29,Shavuot
2020-09-19,Rosh Hashanah I
2020-09-20,Rosh Hashanah II
2020-09-28,Yom Kippur
2020-10-03,Sukkot
2020-10-10,Shemini Atzeret
2021-03-28,Pesach (Passover)
2021-04-03,Shvi'i shel Pesach
2021-04-15,Yom Ha-Atzmaut
2021-05-17,Shavuot
2021-09-07,Rosh Hashanah I
2021-09-08,Rosh Hashanah II
2021-09-16,Yom Kippur
2021-09-21,Sukkot
2021-09-28,Shemini Atzeret
2022-03-17,Purim
2022-04-16,Pesach (Passover)
2022-04-22,Shvi'i shel Pesach
2022-05-05,Yom Ha-Atzmaut
2022-06-05,Shavuot
2022-09-26,Rosh Hashanah I
2022-09-27,Rosh Hashanah II
2022-10-05,Yom Kippur
2022-10-10,Sukkot
2022-10-17,Shemini Atzeret
2023-04-06,Pesach (Passover)
2023-04-12,Shvi'i shel Pesach
2023-04-26,Yom Ha-Atzmaut
2023-05-26,Shavuot
2023-09-16,Rosh Hashanah I
2023-09-17,Rosh Hashanah II
2023-09-25,Yom Kippur
2023-09-30,Sukkot
2023-10-07,Shemini Atzeret
2024-03-24,Purim
2024-04-23,Pesach (Passover)
2024-04-29,Shvi'i shel Pesach
2024-05-14,Yom Ha-Atzmaut
2024-06-12,Shavuot
2024-10-03,Rosh Hashanah I
2024-10-04,Rosh Hashanah II
2024-10-12,Yom Kippur
2024-10-17,Sukkot
2024-10-24,Shemini Atzeret
2025-04-13,Pesach (Passover)
2025-04-19,Shvi'i shel Pesach
2025-05-01,Yom Ha-Atzmaut
2025-06-02,Shavuot
2025-09-23,Rosh Hashanah I
2025-09-24,Rosh Hashanah II
2025-10-02,Yom Kippur
2025-10-07,Sukkot
2025-10-14,Shemini Atzeret
2026-04-02,Pesach (Passover)
2026-04-08,Shvi'i shel Pesach
2026-04-22,Yom Ha-Atzmaut
2026-05-22,Shavuot
2026-09-12,Rosh Hashanah I
2026-09-13,Rosh Hashanah II
2026-09-21,Yom Kippur
2026-09-26,Sukkot
2026-10-03,Shemini Atzeret
2027-03-23,Purim
2027-04-22,Pesach (Passover)
2027-04-28,Shvi'i shel Pesach
2027-05-12,Yom Ha-Atzmaut
2027-06-11,Shavuot
2027-10-02,Rosh Hashanah I
2027-10-03,Rosh Hashanah II
2027-10-11,Yom Kippur
2027-10-16,Sukkot
2027-10-23,Shemini Atzeret
2028-04-11,Pesach (Passover)
2028-04-17,Shvi'i shel Pesach
2028-05-02,Yom Ha-Atzmaut
2028-05-31,Shavuot
2028-09-21,Rosh Hashanah I
2028-09-22,Rosh Hashanah II
2028-09-30,Yom Kippur
2028-10-05,Sukkot
2028-10-12,Shemini Atzeret
2029-03-31,Pesach (Passover)
2029-04-06,Shvi'i shel Pesach
2029-04-19,Yom Ha-Atzmaut
2029-05-20,Shavuot
2029-09-10,Rosh Hashanah I
2029-09-11,Rosh Hashanah II
2029-09-19,Yom Kippur
2029-09-24,Sukkot
2029-10-01,Shemini Atzeret
2030-03-19,Purim
2030-04-18,Pesach (Passover)
2030-04-24,Shvi'i shel Pesach
2030-05-08,Yom Ha-Atzmaut
2030-06-07,Shavuot
2030-09-28,Rosh Hashanah I
2030-09-29,Rosh Hashanah II
2030-10-07,Yom Kippur
